OTU	primary_lifestyle	Genus	Species
Amanita_pelioma_1	ectomycorrhizal	Amanita	Amanita_pelioma_1
Podosporaceae_sp_4	unknown_primary_lyfestyle	Podosporaceae_gen_Incertae_sedis	Podosporaceae_sp_4
Fungi_sp_287	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_287
Bipolaris_drechsleri_4	plant_pathogen	Bipolaris	Bipolaris_drechsleri_4
Lactarius_sp_1	ectomycorrhizal	Lactarius	Lactarius_sp_1
Yarrowia_alimentaria_1	unspecified_saprotroph	Yarrowia	Yarrowia_alimentaria_1
Peziza_sp_76	soil_saprotroph	Peziza	Peziza_sp_76
Fungi_sp_288	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_288
Fungi_sp_289	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_289
Rhizophagus_sp_4	arbuscular_mycorrhizal	Rhizophagus	Rhizophagus_sp_4
Hypocreales_sp_16	unknown_primary_lyfestyle	Hypocreales_gen_Incertae_sedis	Hypocreales_sp_16
Caecomyces_communis_2	animal_endosymbiont	Caecomyces	Caecomyces_communis_2
Basidiomycota_sp_7	unknown_primary_lyfestyle	Basidiomycota_gen_Incertae_sedis	Basidiomycota_sp_7
Ascobolus_sp_12	litter_saprotroph	Ascobolus	Ascobolus_sp_12
Bisifusarium_biseptatum_36	litter_saprotroph	Bisifusarium	Bisifusarium_biseptatum_36
GS11_sp_96	unknown_primary_lyfestyle	GS11_gen_Incertae_sedis	GS11_sp_96
Ostropomyces_pruinosellus_3	unknown_primary_lyfestyle	Ostropomyces	Ostropomyces_pruinosellus_3
Muriphaeosphaeria_viburni_1	plant_pathogen	Muriphaeosphaeria	Muriphaeosphaeria_viburni_1
Entolomataceae_sp_1	unknown_primary_lyfestyle	Entolomataceae_gen_Incertae_sedis	Entolomataceae_sp_1
Savoryellales_sp_2	unknown_primary_lyfestyle	Savoryellales_gen_Incertae_sedis	Savoryellales_sp_2
Fungi_sp_290	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_290
Fungi_sp_291	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_291
Myrothecium_inundatum_9	litter_saprotroph	Myrothecium	Myrothecium_inundatum_9
Triangularia_phialophoroides_1	soil_saprotroph	Triangularia	Triangularia_phialophoroides_1
Aaosphaeria_arxii_2	unknown_primary_lyfestyle	Aaosphaeria	Aaosphaeria_arxii_2
Ascomycota_sp_76	unknown_primary_lyfestyle	Ascomycota_gen_Incertae_sedis	Ascomycota_sp_76
Venturiales_sp_1	unknown_primary_lyfestyle	Venturiales_gen_Incertae_sedis	Venturiales_sp_1
Glomeraceae_sp_60	unknown_primary_lyfestyle	Glomeraceae_gen_Incertae_sedis	Glomeraceae_sp_60
Fungi_sp_292	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_292
Fungi_sp_293	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_293
Camarophyllopsis_schulzeri_5	soil_saprotroph	Camarophyllopsis	Camarophyllopsis_schulzeri_5
Pseudoarthrographis_sp_15	unknown_primary_lyfestyle	Pseudoarthrographis	Pseudoarthrographis_sp_15
Dipodascus_capitatus_8	nectar/tap_saprotroph	Dipodascus	Dipodascus_capitatus_8
Pseudoarthrographis_sp_16	unknown_primary_lyfestyle	Pseudoarthrographis	Pseudoarthrographis_sp_16
Fungi_sp_294	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_294
Fungi_sp_295	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_295
Glomeraceae_sp_61	unknown_primary_lyfestyle	Glomeraceae_gen_Incertae_sedis	Glomeraceae_sp_61
Chaetomium_cervicicola_2	litter_saprotroph	Chaetomium	Chaetomium_cervicicola_2
Fusarium_buharicum_26	plant_pathogen	Fusarium	Fusarium_buharicum_26
Clavaria_sp_3	soil_saprotroph	Clavaria	Clavaria_sp_3
Hortiboletus_napaeus_1	ectomycorrhizal	Hortiboletus	Hortiboletus_napaeus_1
Ascomycota_sp_77	unknown_primary_lyfestyle	Ascomycota_gen_Incertae_sedis	Ascomycota_sp_77
Podospora_sp_1	dung_saprotroph	Podospora	Podospora_sp_1
Rozellomycota_sp_92	unknown_primary_lyfestyle	Rozellomycota_gen_Incertae_sedis	Rozellomycota_sp_92
Candida_neerlandica_1	nectar/tap_saprotroph	Candida	Candida_neerlandica_1
Claroideoglomus_etunicatum_4	arbuscular_mycorrhizal	Claroideoglomus	Claroideoglomus_etunicatum_4
Penicillium_raperi_1	unspecified_saprotroph	Penicillium	Penicillium_raperi_1
Agaricomycetes_sp_31	unknown_primary_lyfestyle	Agaricomycetes_gen_Incertae_sedis	Agaricomycetes_sp_31
Arachnomyces_pilosus_1	animal_parasite	Arachnomyces	Arachnomyces_pilosus_1
Rozellomycota_sp_93	unknown_primary_lyfestyle	Rozellomycota_gen_Incertae_sedis	Rozellomycota_sp_93
Niesslia_mucida_1	litter_saprotroph	Niesslia	Niesslia_mucida_1
GS11_sp_97	unknown_primary_lyfestyle	GS11_gen_Incertae_sedis	GS11_sp_97
Davidiellomyces_australiensis_23	unknown_primary_lyfestyle	Davidiellomyces	Davidiellomyces_australiensis_23
Resupinatus_griseopallidus_2	wood_saprotroph	Resupinatus	Resupinatus_griseopallidus_2
Cunninghamella_echinulata_1	soil_saprotroph	Cunninghamella	Cunninghamella_echinulata_1
Bradymyces_graniticola_1	unspecified_saprotroph	Bradymyces	Bradymyces_graniticola_1
Bartalinia_robillardoides_2	foliar_endophyte	Bartalinia	Bartalinia_robillardoides_2
Daldinia_loculata_2	wood_saprotroph	Daldinia	Daldinia_loculata_2
Striatibotrys_oleronensis_1	soil_saprotroph	Striatibotrys	Striatibotrys_oleronensis_1
Yamadazyma_tenuis_1	nectar/tap_saprotroph	Yamadazyma	Yamadazyma_tenuis_1
Pseudombrophilaceae_sp_1	unknown_primary_lyfestyle	Pseudombrophilaceae_gen_Incertae_sedis	Pseudombrophilaceae_sp_1
Rozellomycota_sp_94	unknown_primary_lyfestyle	Rozellomycota_gen_Incertae_sedis	Rozellomycota_sp_94
Fusarium_poae_1	plant_pathogen	Fusarium	Fusarium_poae_1
Tuber_puberulum_10	ectomycorrhizal	Tuber	Tuber_puberulum_10
Leptodiscella_sexualis_3	unknown_primary_lyfestyle	Leptodiscella	Leptodiscella_sexualis_3
GS11_sp_98	unknown_primary_lyfestyle	GS11_gen_Incertae_sedis	GS11_sp_98
Metarhizium_robertsii_2	animal_parasite	Metarhizium	Metarhizium_robertsii_2
Xepicula_leucotricha_8	soil_saprotroph	Xepicula	Xepicula_leucotricha_8
Hydnellum_sp_1	ectomycorrhizal	Hydnellum	Hydnellum_sp_1
Pezizaceae_sp_16	unknown_primary_lyfestyle	Pezizaceae_gen_Incertae_sedis	Pezizaceae_sp_16
Funneliformis_mosseae_2	arbuscular_mycorrhizal	Funneliformis	Funneliformis_mosseae_2
Calonectria_australiensis_1	plant_pathogen	Calonectria	Calonectria_australiensis_1
Conocybe_sabulicola_1	soil_saprotroph	Conocybe	Conocybe_sabulicola_1
Fungi_sp_296	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_296
GS11_sp_99	unknown_primary_lyfestyle	GS11_gen_Incertae_sedis	GS11_sp_99
Yamadazyma_takamatsuzukensis_5	nectar/tap_saprotroph	Yamadazyma	Yamadazyma_takamatsuzukensis_5
GS11_sp_100	unknown_primary_lyfestyle	GS11_gen_Incertae_sedis	GS11_sp_100
Claroideoglomus_sp_1	arbuscular_mycorrhizal	Claroideoglomus	Claroideoglomus_sp_1
Fusarium_equiseti_46	plant_pathogen	Fusarium	Fusarium_equiseti_46
Cordyceps_fumosorosea_22	animal_parasite	Cordyceps	Cordyceps_fumosorosea_22
GS11_sp_101	unknown_primary_lyfestyle	GS11_gen_Incertae_sedis	GS11_sp_101
Toxicocladosporium_chlamydosporum_12	unknown_primary_lyfestyle	Toxicocladosporium	Toxicocladosporium_chlamydosporum_12
Saitozyma_paraflava_3	soil_saprotroph	Saitozyma	Saitozyma_paraflava_3
Rozellomycota_sp_95	unknown_primary_lyfestyle	Rozellomycota_gen_Incertae_sedis	Rozellomycota_sp_95
Cephaliophora_sp_2	soil_saprotroph	Cephaliophora	Cephaliophora_sp_2
Glomus_macrocarpum_2	arbuscular_mycorrhizal	Glomus	Glomus_macrocarpum_2
Chytridiomycota_sp_11	unknown_primary_lyfestyle	Chytridiomycota_gen_Incertae_sedis	Chytridiomycota_sp_11
Papulaspora_funabasensis_2	wood_saprotroph	Papulaspora	Papulaspora_funabasensis_2
Clavariaceae_sp_3	unknown_primary_lyfestyle	Clavariaceae_gen_Incertae_sedis	Clavariaceae_sp_3
Bisifusarium_biseptatum_37	litter_saprotroph	Bisifusarium	Bisifusarium_biseptatum_37
Fenestella_parafenestrata_61	unknown_primary_lyfestyle	Fenestella	Fenestella_parafenestrata_61
Plectosphaerella_cucumerina_5	plant_pathogen	Plectosphaerella	Plectosphaerella_cucumerina_5
Fusarium_brachygibbosum_10	plant_pathogen	Fusarium	Fusarium_brachygibbosum_10
Catenophlyctis_sp_3	soil_saprotroph	Catenophlyctis	Catenophlyctis_sp_3
Laburnicola_nematophila_1	unknown_primary_lyfestyle	Laburnicola	Laburnicola_nematophila_1
Fusarium_variasi_12	plant_pathogen	Fusarium	Fusarium_variasi_12
Chordomyces_antarcticus_1	soil_saprotroph	Chordomyces	Chordomyces_antarcticus_1
Podosporaceae_sp_5	unknown_primary_lyfestyle	Podosporaceae_gen_Incertae_sedis	Podosporaceae_sp_5
Laetiporus_caribensis_4	plant_pathogen	Laetiporus	Laetiporus_caribensis_4
Coniosporium_sp_51	plant_pathogen	Coniosporium	Coniosporium_sp_51
GS11_sp_102	unknown_primary_lyfestyle	GS11_gen_Incertae_sedis	GS11_sp_102
Coprinopsis_pachyderma_1	soil_saprotroph	Coprinopsis	Coprinopsis_pachyderma_1
Rasamsonia_piperina_2	soil_saprotroph	Rasamsonia	Rasamsonia_piperina_2
Bisifusarium_biseptatum_38	litter_saprotroph	Bisifusarium	Bisifusarium_biseptatum_38
Fungi_sp_297	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_297
