OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
Pyronemataceae_sp_4	Fungi	Ascomycota	Leotiomycetes	Helotiales	Ploettnerulaceae	Mycochaetophora	Mycochaetophora_gentianae_1
Fungi_sp_111	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Arthrocladium	Arthrocladium_caudatum_1
Sordariomycetes_sp_8	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	Fungi_sp_39
Agaricomycetes_sp_14	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	Fungi_sp_40
Fungi_sp_112	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_indefessa_1
GS11_sp_33	Fungi	Neocallimastigomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Neocallimastix	Neocallimastix_cameroonii_1
Sordariales_sp_12	Fungi	Rozellomycota	Rozellomycota_cls_Incertae_sedis	Rozellomycota_ord_Incertae_sedis	Rozellomycota_fam_Incertae_sedis	Rozellomycota_gen_Incertae_sedis	Rozellomycota_sp_17
Diversisporaceae_sp_1	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_sp_1
Sordariomycetes_sp_9	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Wardomyces	Wardomyces_inflatus_1
Fungi_sp_113	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliales_fam_Incertae_sedis	Orbiliales_gen_Incertae_sedis	Orbiliales_sp_4
Mortierellaceae_sp_7	Fungi	Rozellomycota	Rozellomycotina_cls_Incertae_sedis	GS11	GS11_fam_Incertae_sedis	GS11_gen_Incertae_sedis	GS11_sp_6
GS11_sp_34	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliales_fam_Incertae_sedis	Orbiliales_gen_Incertae_sedis	Orbiliales_sp_5
Furcasterigmium_furcatum_1	Fungi	Rozellomycota	Rozellomycota_cls_Incertae_sedis	Rozellomycota_ord_Incertae_sedis	Rozellomycota_fam_Incertae_sedis	Rozellomycota_gen_Incertae_sedis	Rozellomycota_sp_18
Onygenales_sp_6	Fungi	Basidiomycota	Agaricomycetes	Boletales	Sclerodermataceae	Scleroderma	Scleroderma_sp_1
Orbiliaceae_sp_3	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Pluteus	Pluteus_pellitus_1
Aphelidiomycota_sp_6	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius_sulphosmus_1
GS11_sp_35	Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_ord_Incertae_sedis	Dothideomycetes_fam_Incertae_sedis	Monodictys	Monodictys_castaneae_1
Fungi_sp_114	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	Conocybe_dumetorum_1
Onygenales_sp_7	Fungi	Ascomycota	Pezizomycetes	Pezizales	Helvellaceae	Helvella	Helvella_bachu_6
Fungi_sp_115	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriales_fam_Incertae_sedis	Chaetothyriales_gen_Incertae_sedis	Chaetothyriales_sp_6
Dlhawksworthia_clematidicola_1	Fungi	Ascomycota	Ascomycota_cls_Incertae_sedis	Ascomycota_ord_Incertae_sedis	Ascomycota_fam_Incertae_sedis	Ascomycota_gen_Incertae_sedis	Ascomycota_sp_11
Sordariomycetes_sp_10	Fungi	Ascomycota	Pezizomycotina_cls_Incertae_sedis	Pezizomycotina_ord_Incertae_sedis	Pezizomycotina_fam_Incertae_sedis	Badarisama	Badarisama_sojae_1
Rozellomycota_sp_42	Fungi	Aphelidiomycota	Aphelidiomycota_cls_Incertae_sedis	Aphelidiomycota_ord_Incertae_sedis	Aphelidiomycota_fam_Incertae_sedis	Aphelidiomycota_gen_Incertae_sedis	Aphelidiomycota_sp_1
Fungi_sp_116	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neoophiobolus	Neoophiobolus_chromolaenae_1
Serendipitaceae_sp_4	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthales_fam_Incertae_sedis	Magnaporthales_gen_Incertae_sedis	Magnaporthales_sp_3
Kiskunsagia_ubrizsyi_15	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	Fungi_sp_41
Aphelidiomycota_sp_7	Fungi	Chytridiomycota	Rhizophlyctidomycetes	Rhizophlyctidales	Rhizophlyctidaceae	Rhizophlyctis	Rhizophlyctis_sp_1
Ascomycota_sp_30	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	Holtermanniaceae	Holtermannia	Holtermannia_saccardoi_1
Chaetothyriales_sp_11	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordyceps	Cordyceps_fumosorosea_5
Fungi_sp_117	Fungi	Kickxellomycota	Ramicandelaberomycetes	Ramicandelaberales	Ramicandelaberaceae	Ramicandelaber	Ramicandelaber_taiwanensis_2
Entorrhizomycetes_sp_1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_tillandsiae_1
